[ 2016-02-28 01:13:03 / pinkman02    /  39475 /    166 ]: task end: 'initial search for btrw_r16_r16 with budget=2164561' with result 'Initial search timeout'
[ 2016-02-28 01:15:17 / pinkman02    /  39475 /    218 ]: task end: 'initial search for cvttps2dq_xmm_xmm with budget=7672738' with result 'Initial search timeout'
[ 2016-02-28 01:15:25 / pinkman02    /  39475 /     87 ]: task end: 'initial search for imulw_r16_r16 with budget=16619540' with result 'Initial search timeout'
[ 2016-02-28 01:16:23 / pinkman02    /  39475 /    171 ]: task end: 'initial search for blsrl_r32_r32 with budget=3577706' with result 'Initial search timeout'
[ 2016-02-28 01:16:53 / pinkman02    /  39475 /     83 ]: task end: 'initial search for vpermps_ymm_ymm_ymm with budget=19099452' with result 'Initial search timeout'
[ 2016-02-28 01:17:56 / pinkman02    /  39475 /    112 ]: task end: 'initial search for vfmaddsub132ps_ymm_ymm_ymm with budget=15500435' with result 'Initial search timeout'
[ 2016-02-28 01:18:33 / pinkman02    /  39475 /    172 ]: task end: 'initial search for vpaddsw_ymm_ymm_ymm with budget=15880129' with result 'Initial search timeout'
[ 2016-02-28 01:19:41 / pinkman02    /  39475 /     89 ]: task end: 'initial search for blsmskq_r64_r64 with budget=20930227' with result 'Initial search timeout'
[ 2016-02-28 01:19:45 / pinkman02    /  39475 /    215 ]: task end: 'initial search for vmovmskps_r32_xmm with budget=9225023' with result 'Initial search timeout'
[ 2016-02-28 01:20:09 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:20:11 / pinkman02    /  39475 /    171 ]: task end: 'initial search for vpmulld_xmm_xmm_xmm with budget=1945930' with result 'Initial search timeout'
[ 2016-02-28 01:20:11 / pinkman02    /  39475 /    215 ]: task end: 'initial search for cmovaq_r64_r64 with budget=287921' with result 'Initial search success'
[ 2016-02-28 01:20:12 / pinkman02    /  39475 /    217 ]: task end: 'initial search for vpmovsxwq_ymm_xmm with budget=4871857' with result 'Initial search timeout'
[ 2016-02-28 01:20:27 / pinkman02    /  39475 /    218 ]: task end: 'initial search for vfnmsub231pd_xmm_xmm_xmm with budget=2512386' with result 'Initial search timeout'
[ 2016-02-28 01:20:54 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:21:02 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:21:02 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 01:21:32 / pinkman02    /  39475 /    217 ]: task end: 'initial search for vpmaxub_ymm_ymm_ymm with budget=681848' with result 'Initial search timeout'
[ 2016-02-28 01:22:54 / pinkman02    /  39475 /    112 ]: task end: 'initial search for vpcmpgtb_xmm_xmm_xmm with budget=2693860' with result 'Initial search timeout'
[ 2016-02-28 01:25:16 / pinkman02    /  39475 /    213 ]: task end: 'initial search for vpavgw_ymm_ymm_ymm with budget=23855343' with result 'Initial search timeout'
[ 2016-02-28 01:25:19 / pinkman02    /  39475 /    192 ]: task end: 'initial search for pmovzxbw_xmm_xmm with budget=20102427' with result 'Initial search timeout'
[ 2016-02-28 01:27:17 / pinkman02    /  39475 /     93 ]: task end: 'initial search for vpsrlvq_xmm_xmm_xmm with budget=8615414' with result 'Initial search timeout'
[ 2016-02-28 01:27:52 / pinkman02    /  39475 /     83 ]: task end: 'initial search for imulw_r16 with budget=7683188' with result 'Initial search timeout'
[ 2016-02-28 01:30:03 / pinkman02    /  39475 /    172 ]: task end: 'initial search for btrq_r64_r64 with budget=8158038' with result 'Initial search timeout'
[ 2016-02-28 01:30:45 / pinkman02    /  39475 /    168 ]: task end: 'initial search for pmaddubsw_xmm_xmm with budget=27441632' with result 'Initial search timeout'
[ 2016-02-28 01:31:25 / pinkman02    /  39475 /    217 ]: task end: 'initial search for maxpd_xmm_xmm with budget=6334683' with result 'Initial search timeout'
[ 2016-02-28 01:32:15 / pinkman02    /  39475 /    166 ]: verification for pmovsxbd_xmm_xmm: verified
[ 2016-02-28 01:32:19 / pinkman02    /  39475 /    166 ]: task end: 'initial search for pmovsxbd_xmm_xmm with budget=26792996' with result 'Initial search success'
[ 2016-02-28 01:32:49 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:32:55 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:32:55 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 01:33:19 / pinkman02    /  39475 /    168 ]: task end: 'initial search for vpsubq_ymm_ymm_ymm with budget=1290109' with result 'Initial search timeout'
[ 2016-02-28 01:33:35 / pinkman02    /  39475 /    174 ]: task end: 'initial search for vpsrlvd_ymm_ymm_ymm with budget=21253726' with result 'Initial search timeout'
[ 2016-02-28 01:33:49 / pinkman02    /  39475 /    110 ]: task end: 'initial search for vpsrad_xmm_xmm_xmm with budget=24261937' with result 'Initial search timeout'
[ 2016-02-28 01:33:53 / pinkman02    /  39475 /    114 ]: task end: 'initial search for vpshufb_xmm_xmm_xmm with budget=20867776' with result 'Initial search timeout'
[ 2016-02-28 01:34:56 / pinkman02    /  39475 /    175 ]: task end: 'initial search for vpsllq_ymm_ymm_xmm with budget=26605974' with result 'Initial search timeout'
[ 2016-02-28 01:35:54 / pinkman02    /  39475 /     92 ]: task end: 'initial search for vpsubsb_ymm_ymm_ymm with budget=14245151' with result 'Initial search timeout'
[ 2016-02-28 01:35:55 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:35:59 / pinkman02    /  39475 /    168 ]: task end: 'initial search for rclq_r64_cl with budget=1953972' with result 'Initial search timeout'
[ 2016-02-28 01:36:04 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:36:04 / pinkman02    /  39475 /    215 ]: task end: 'secondary search for cmovaq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 01:36:07 / pinkman02    /  39475 /    172 ]: task end: 'initial search for btrw_r16_r16 with budget=4329122' with result 'Initial search timeout'
[ 2016-02-28 01:36:29 / pinkman02    /  39475 /     95 ]: task end: 'initial search for vfmadd231ss_xmm_xmm_xmm with budget=15715465' with result 'Initial search timeout'
[ 2016-02-28 01:40:05 / pinkman02    /  39475 /    192 ]: task end: 'initial search for rorq_r64_one with budget=10511554' with result 'Initial search timeout'
[ 2016-02-28 01:40:16 / pinkman02    /  39475 /    111 ]: task end: 'initial search for movmskps_r32_xmm with budget=38987119' with result 'Initial search timeout'
[ 2016-02-28 01:40:41 / pinkman02    /  39475 /    167 ]: task end: 'initial search for vpsraw_xmm_xmm_xmm with budget=29113939' with result 'Initial search timeout'
[ 2016-02-28 01:41:28 / pinkman02    /  39475 /    174 ]: task end: 'initial search for lzcntl_r32_r32 with budget=5757965' with result 'Initial search timeout'
[ 2016-02-28 01:41:45 / pinkman02    /  39475 /     91 ]: task end: 'initial search for psllw_xmm_xmm with budget=33803857' with result 'Initial search timeout'
[ 2016-02-28 01:41:49 / pinkman02    /  39475 /    111 ]: task end: 'initial search for cmovnpq_r64_r64 with budget=1030899' with result 'Initial search timeout'
[ 2016-02-28 01:41:50 / pinkman02    /  39475 /    113 ]: task end: 'initial search for phaddsw_xmm_xmm with budget=35323478' with result 'Initial search timeout'
[ 2016-02-28 01:42:19 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:42:20 / pinkman02    /  39475 /    111 ]: task end: 'initial search for andq_r64_r64 with budget=6256495' with result 'Initial search success'
[ 2016-02-28 01:42:22 / pinkman02    /  39475 /    172 ]: task end: 'initial search for vfmsubadd132ps_ymm_ymm_ymm with budget=3507302' with result 'Initial search timeout'
[ 2016-02-28 01:42:52 / pinkman02    /  39475 /    164 ]: task end: 'initial search for sarw_r16_cl with budget=21823807' with result 'Initial search timeout'
[ 2016-02-28 01:43:18 / pinkman02    /  39475 /     90 ]: task end: 'initial search for pcmpgtq_xmm_xmm with budget=28398372' with result 'Initial search timeout'
[ 2016-02-28 01:44:46 / pinkman02    /  39475 /     94 ]: task end: 'initial search for salb_r8_cl with budget=41186131' with result 'Initial search timeout'
[ 2016-02-28 01:45:52 / pinkman02    /  39475 /    167 ]: task end: 'initial search for pdepq_r64_r64_r64 with budget=3678082' with result 'Initial search timeout'
[ 2016-02-28 01:48:59 / pinkman02    /  39475 /     89 ]: task end: 'initial search for vcvtph2ps_ymm_xmm with budget=14926379' with result 'Initial search timeout'
[ 2016-02-28 01:49:35 / pinkman02    /  39475 /    174 ]: verification for maxpd_xmm_xmm: verified
[ 2016-02-28 01:49:35 / pinkman02    /  39475 /    174 ]: task end: 'initial search for maxpd_xmm_xmm with budget=12669366' with result 'Initial search success'
[ 2016-02-28 01:50:32 / pinkman02    /  39475 /    164 ]: task end: 'initial search for psubsb_xmm_xmm with budget=4872816' with result 'Initial search timeout'
[ 2016-02-28 01:50:57 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:51:06 / pinkman02    /  39475 /    111 ]: verification for andq_r64_r64: verified
[ 2016-02-28 01:51:06 / pinkman02    /  39475 /    111 ]: task end: 'secondary search for andq_r64_r64 with budget=10000000' with result 'Secondary search success: New program is correct'
[ 2016-02-28 01:54:12 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
[ 2016-02-28 01:54:19 / pinkman02    /  39475 /    215 ]: verification for cmovaq_r64_r64: verified
